Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
159	-131	32	10309	159	-131	32	10309	159	-131	32	10309	159	-131	32	10309	159	-131	32	10309	159	-131	32	10309	159	-131	32	10309
160	-22	22	10331	160	-22	22	10331	160	-22	22	10331	160	-22	22	10331	160	-22	22	10331	160	-22	22	10331	160	-22	22	10331
161	-19	19	10350	161	-19	19	10350	161	-19	19	10350	161	-19	19	10350	161	-19	19	10350	161	-19	19	10350	161	-19	19	10350
162	-34	34	10384	162	-34	34	10384	162	-34	34	10384	162	-34	34	10384	162	-34	34	10384	162	-34	34	10384	162	-34	34	10384
163	-24	24	10408	163	-24	24	10408	163	-24	24	10408	163	-24	24	10408	163	-24	24	10408	163	-24	24	10408	163	-24	24	10408
164	-17	17	10425	164	-17	17	10425	164	-17	17	10425	164	-17	17	10425	164	-17	17	10425	164	-17	17	10425	164	-17	17	10425
165	-130	31	10456	165	-130	31	10456	165	-130	31	10456	165	-130	31	10456	165	-130	31	10456	165	-130	31	10456	165	-130	31	10456
166	-34	34	10490	166	-34	34	10490	166	-34	34	10490	166	-34	34	10490	166	-34	34	10490	166	-34	34	10490	166	-34	34	10490
167	-21	21	10511	167	-21	21	10511	167	-21	21	10511	167	-21	21	10511	167	-21	21	10511	167	-21	21	10511	167	-21	21	10511
168	-22	22	10533	168	-22	22	10533	168	-22	22	10533	168	-22	22	10533	168	-22	22	10533	168	-22	22	10533	168	-22	22	10533
169	-19	19	10552	169	-19	19	10552	169	-19	19	10552	169	-19	19	10552	169	-19	19	10552	169	-19	19	10552	169	-19	19	10552
170	-15	15	10567	170	-15	15	10567	170	-15	15	10567	170	-15	15	10567	170	-15	15	10567	170	-15	15	10567	170	-15	15	10567
171	-29	29	10596	171	-29	29	10596	171	-29	29	10596	171	-29	29	10596	171	-29	29	10596	171	-29	29	10596	171	-29	29	10596
172	-248	50	10646	172	-248	50	10646	172	-248	50	10646	172	-248	50	10646	172	-248	50	10646	172	-248	50	10646	172	-248	50	10646
173	-23	23	10669	173	-23	23	10669	173	-23	23	10669	173	-23	23	10669	173	-23	23	10669	173	-23	23	10669	173	-23	23	10669
174	-25	25	10694	174	-25	25	10694	174	-25	25	10694	174	-25	25	10694	174	-25	25	10694	174	-25	25	10694	174	-25	25	10694
175	-23	23	10717	175	-23	23	10717	175	-23	23	10717	175	-23	23	10717	175	-23	23	10717	175	-23	23	10717	175	-23	23	10717
176	-33	33	10750	176	-33	33	10750	176	-33	33	10750	176	-33	33	10750	176	-33	33	10750	176	-33	33	10750	176	-33	33	10750
177	-15	15	10765	177	-15	15	10765	177	-15	15	10765	177	-15	15	10765	177	-15	15	10765	177	-15	15	10765	177	-15	15	10765
178	-15	15	10780	178	-15	15	10780	178	-15	15	10780	178	-15	15	10780	178	-15	15	10780	178	-15	15	10780	178	-15	15	10780
179	-143	44	10824	179	-143	44	10824	179	-143	44	10824	179	-143	44	10824	179	-143	44	10824	179	-143	44	10824	179	-143	44	10824
180	-128	29	10853	180	-128	29	10853	180	-128	29	10853	180	-128	29	10853	180	-128	29	10853	180	-128	29	10853	180	-128	29	10853
181	-15	15	10868	181	-15	15	10868	181	-15	15	10868	181	-15	15	10868	181	-15	15	10868	181	-15	15	10868	181	-15	15	10868
182	-150	51	10919	182	-150	51	10919	182	-150	51	10919	182	-150	51	10919	182	-150	51	10919	182	-150	51	10919	182	-150	51	10919
183	-13	13	10932	183	-13	13	10932	183	-13	13	10932	183	-13	13	10932	183	-13	13	10932	183	-13	13	10932	183	-13	13	10932
184	-17	17	10949	184	-17	17	10949	184	-17	17	10949	184	-17	17	10949	184	-17	17	10949	184	-17	17	10949	184	-17	17	10949
185	-24	24	10973	185	-24	24	10973	185	-24	24	10973	185	-24	24	10973	185	-24	24	10973	185	-24	24	10973	185	-24	24	10973
186	-21	21	10994	186	-21	21	10994	186	-21	21	10994	186	-21	21	10994	186	-21	21	10994	186	-21	21	10994	186	-21	21	10994
